uniprot_id,hgnc_symbol,source_file
A0A0D9S1R0,APOE,date=2026-03-21/organ=brain/APOE.json
P02649,APOE,date=2026-03-21/organ=brain/APOE.json
P0DKW8,APOE,date=2026-03-21/organ=brain/APOE.json
P0DML7,APOE,date=2026-03-21/organ=brain/APOE.json
P0DML8,APOE,date=2026-03-21/organ=brain/APOE.json
P0DMM1,APOE,date=2026-03-21/organ=brain/APOE.json
P0DMT6,APOE,date=2026-03-21/organ=brain/APOE.json
P0DO95,APOE,date=2026-03-21/organ=brain/APOE.json
P0DOC3,APOE,date=2026-03-21/organ=brain/APOE.json
P0DUY3,APOE,date=2026-03-21/organ=brain/APOE.json
P0DUY4,APOE,date=2026-03-21/organ=brain/APOE.json
P0DUY6,APOE,date=2026-03-21/organ=brain/APOE.json
P0DUZ2,APOE,date=2026-03-21/organ=brain/APOE.json
P0DUZ4,APOE,date=2026-03-21/organ=brain/APOE.json
P18649,APOE,date=2026-03-21/organ=brain/APOE.json
Q03247,APOE,date=2026-03-21/organ=brain/APOE.json
Q28502,APOE,date=2026-03-21/organ=brain/APOE.json
Q9GJU3,APOE,date=2026-03-21/organ=brain/APOE.json
A0A144A2H0,APP,date=2026-03-21/organ=brain/APP.json
P05067,APP,date=2026-03-21/organ=brain/APP.json
P29216,APP,date=2026-03-21/organ=brain/APP.json
P53601,APP,date=2026-03-21/organ=brain/APP.json
P79307,APP,date=2026-03-21/organ=brain/APP.json
P86906,APP,date=2026-03-21/organ=brain/APP.json
Q28053,APP,date=2026-03-21/organ=brain/APP.json
Q28280,APP,date=2026-03-21/organ=brain/APP.json
Q28748,APP,date=2026-03-21/organ=brain/APP.json
Q28757,APP,date=2026-03-21/organ=brain/APP.json
Q29149,APP,date=2026-03-21/organ=brain/APP.json
Q5IS80,APP,date=2026-03-21/organ=brain/APP.json
Q60495,APP,date=2026-03-21/organ=brain/APP.json
Q95241,APP,date=2026-03-21/organ=brain/APP.json
P02650,Apoe,date=2026-03-21/organ=brain/APOE.json
P08226,Apoe,date=2026-03-21/organ=brain/APOE.json
P0DUY9,Apoe,date=2026-03-21/organ=brain/APOE.json
P0DUZ7,Apoe,date=2026-03-21/organ=brain/APOE.json
P0DUZ9,Apoe,date=2026-03-21/organ=brain/APOE.json
P0DV00,Apoe,date=2026-03-21/organ=brain/APOE.json
P08592,App,date=2026-03-21/organ=brain/APP.json
P12023,App,date=2026-03-21/organ=brain/APP.json
P38398,BRCA1,date=2026-03-21/organ=liver/BRCA1.json
Q6J6I8,BRCA1,date=2026-03-21/organ=liver/BRCA1.json
Q6J6I9,BRCA1,date=2026-03-21/organ=liver/BRCA1.json
Q6J6J0,BRCA1,date=2026-03-21/organ=liver/BRCA1.json
Q864U1,BRCA1,date=2026-03-21/organ=liver/BRCA1.json
Q8RXD4,BRCA1,date=2026-03-21/organ=liver/BRCA1.json
Q95153,BRCA1,date=2026-03-21/organ=liver/BRCA1.json
Q9GKK8,BRCA1,date=2026-03-21/organ=liver/BRCA1.json
O54952,Brca1,date=2026-03-21/organ=liver/BRCA1.json
P48754,Brca1,date=2026-03-21/organ=liver/BRCA1.json
P00533,EGFR,date=2026-03-21/organ=liver/EGFR.json
P13387,EGFR,date=2026-03-21/organ=liver/EGFR.json
P55245,EGFR,date=2026-03-21/organ=liver/EGFR.json
P04412,Egfr,date=2026-03-21/organ=liver/EGFR.json
P0CY46,Egfr,date=2026-03-21/organ=liver/EGFR.json
Q01279,Egfr,date=2026-03-21/organ=liver/EGFR.json
Q05586,GRIN1,date=2026-03-21/organ=brain/GRIN1.json
Q5R1P0,GRIN1,date=2026-03-21/organ=brain/GRIN1.json
P35438,Grin1,date=2026-03-21/organ=brain/GRIN1.json
P35439,Grin1,date=2026-03-21/organ=brain/GRIN1.json
Q11207,PARP2,date=2026-03-21/organ=brain/APP.json
P49768,PSEN1,date=2026-03-21/organ=brain/PSEN1.json
P79802,PSEN1,date=2026-03-21/organ=brain/PSEN1.json
Q4JIM4,PSEN1,date=2026-03-21/organ=brain/PSEN1.json
Q5R780,PSEN1,date=2026-03-21/organ=brain/PSEN1.json
Q6RH31,PSEN1,date=2026-03-21/organ=brain/PSEN1.json
Q8HXW5,PSEN1,date=2026-03-21/organ=brain/PSEN1.json
Q9XT97,PSEN1,date=2026-03-21/organ=brain/PSEN1.json
P49810,PSEN2,date=2026-03-21/organ=brain/PSEN2.json
P79801,PSEN2,date=2026-03-21/organ=brain/PSEN2.json
Q0MS45,PSEN2,date=2026-03-21/organ=brain/PSEN2.json
Q5RCN9,PSEN2,date=2026-03-21/organ=brain/PSEN2.json
Q90X07,PSEN2,date=2026-03-21/organ=brain/PSEN2.json
Q9XT96,PSEN2,date=2026-03-21/organ=brain/PSEN2.json
P49769,Psen1,date=2026-03-21/organ=brain/PSEN1.json
P97887,Psen1,date=2026-03-21/organ=brain/PSEN1.json
O88777,Psen2,date=2026-03-21/organ=brain/PSEN2.json
Q61144,Psen2,date=2026-03-21/organ=brain/PSEN2.json
O54975,Xpnpep1,date=2026-03-21/organ=brain/APP.json
Q2U7S5,ampp,date=2026-03-21/organ=brain/APP.json
O42364,apoeb,date=2026-03-21/organ=brain/APOE.json
A2VEY9,app,date=2026-03-21/organ=brain/APP.json
O73683,app,date=2026-03-21/organ=brain/APP.json
O93279,app,date=2026-03-21/organ=brain/APP.json
A0A1L8F5J9,grin1,date=2026-03-21/organ=brain/GRIN1.json
O12976,psen1,date=2026-03-21/organ=brain/PSEN1.json
Q9W6T7,psen1,date=2026-03-21/organ=brain/PSEN1.json
O12977,psen2,date=2026-03-21/organ=brain/PSEN2.json
Q90ZE4,psen2,date=2026-03-21/organ=brain/PSEN2.json
